"";"Focal";"Date";"Age.new";"Age.scale";"percentage.duration.groomed";"mean.party.size.scale";"Age.mother.round.scale";"rank.scale";"months.pregnant.scale";"Duration.static";"duration.groomed";"Group";"Sex";"family.member";"Group.centered";"Sex.centered";"family.member.centered"
"243";"SF13";"2022-08-20";63;0,214806012896717;0,55472263868066;-0,600069665316003;-0,424976152739494;-1,55275099284713;-0,29358380298172;6670;37;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
"244";"SF13";"2022-12-29";67;0,355374364894569;0;0,611193510811048;-0,424976152739494;-1,50416979929762;-0,29358380298172;1646;0;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
"245";"SF13";"2022-12-30";67;0,355374364894569;0;0,957268703990205;-0,424976152739494;-1,50416979929762;-0,29358380298172;508;0;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
"246";"SF13";"2023-01-02";68;0,390516452894032;0;-0,253994472136846;-0,424976152739494;-1,50416979929762;-0,29358380298172;111;0;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
"247";"SF13";"2023-01-04";68;0,390516452894032;0;0,957268703990205;-0,424976152739494;-1,50416979929762;-0,29358380298172;12521;0;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
"248";"SF13";"2023-01-13";68;0,390516452894032;0,78964175811415;2,16853188011726;-0,424976152739494;-1,50416979929762;-0,29358380298172;17223;136;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
"249";"SF13";"2023-01-14";68;0,390516452894032;1,09978768577495;1,64941909034852;-0,424976152739494;-1,50416979929762;-0,29358380298172;23550;259;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
"250";"SF13";"2023-01-16";68;0,390516452894032;0;0,957268703990205;-0,424976152739494;-1,50416979929762;-0,29358380298172;8374;0;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
"251";"SF13";"2023-01-17";68;0,390516452894032;1,57342657342657;1,47638149375894;-0,424976152739494;-1,50416979929762;-0,29358380298172;9724;153;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
"252";"SF13";"2023-01-20";68;0,390516452894032;0;2,16853188011726;-0,424976152739494;-1,50416979929762;-0,29358380298172;4507;0;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
