"";"X";"Focal";"Date";"Age.new";"Age.scale";"contact.one.meter";"mean.party.size.scale";"Age.mother.round.scale";"rank.scale";"months.pregnant.scale";"total.scans";"Group";"Sex";"family.member";"Group.centered";"Sex.centered";"family.member.centered"
"206";207;"SM11";"2022-07-21";92;1,23322698254971;1;0,94680545732012;3,35237207715097;1,65460555507891;-0,296468713980032;12;"SUD";"M";"No";0,561818181818182;0,383636363636364;-0,396363636363636
"207";208;"SM11";"2022-07-22";92;1,23322698254971;9;-0,953716446059683;3,35237207715097;1,65460555507891;-0,296468713980032;57;"SUD";"M";"No";0,561818181818182;0,383636363636364;-0,396363636363636
"208";209;"SM11";"2022-08-14";93;1,26846936228588;3;-1,4720406015269;3,48717282597631;1,65460555507891;-0,296468713980032;31;"SUD";"M";"No";0,561818181818182;0,383636363636364;-0,396363636363636
"209";210;"SM11";"2022-08-15";93;1,26846936228588;3;-0,78094172757061;3,48717282597631;1,65460555507891;-0,296468713980032;82;"SUD";"M";"No";0,561818181818182;0,383636363636364;-0,396363636363636
"210";211;"SM11";"2022-08-17";93;1,26846936228588;2;-1,4720406015269;3,48717282597631;1,65460555507891;-0,296468713980032;20;"SUD";"M";"No";0,561818181818182;0,383636363636364;-0,396363636363636
"211";212;"SM11";"2022-08-19";93;1,26846936228588;3;0,0829318648747551;3,48717282597631;1,65460555507891;-0,296468713980032;44;"SUD";"M";"No";0,561818181818182;0,383636363636364;-0,396363636363636
"212";213;"SM11";"2022-08-22";93;1,26846936228588;1;-0,608167009081537;3,48717282597631;1,65460555507891;-0,296468713980032;17;"SUD";"M";"No";0,561818181818182;0,383636363636364;-0,396363636363636
"213";214;"SF12";"2022-03-03";75;0,634106527034809;2;-0,608167009081537;0,656357100644121;0,781674162383155;-0,296468713980032;63;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"214";215;"SF12";"2022-03-06";75;0,634106527034809;0;-1,12649116454876;0,656357100644121;0,781674162383155;-0,296468713980032;3;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"215";216;"SF12";"2022-04-19";76;0,66934890677098;5;-0,262617572103391;0,656357100644121;0,781674162383155;-0,296468713980032;35;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"216";217;"SF12";"2022-04-22";76;0,66934890677098;3;0,0829318648747551;0,656357100644121;0,781674162383155;-0,296468713980032;36;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"217";218;"SF12";"2022-05-10";77;0,704591286507151;5;-0,0898428536143179;0,656357100644121;0,781674162383155;-0,296468713980032;26;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"218";219;"SF12";"2022-05-24";77;0,704591286507151;23;-1,4720406015269;0,656357100644121;0,781674162383155;-0,296468713980032;47;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"219";220;"SF12";"2022-05-25";77;0,704591286507151;13;-1,4720406015269;0,656357100644121;0,781674162383155;-0,296468713980032;40;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"220";221;"SF12";"2022-06-07";78;0,739833666243321;0;-0,78094172757061;0,656357100644121;0,781674162383155;-0,296468713980032;4;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"221";222;"SF12";"2022-06-16";78;0,739833666243321;4;-0,953716446059683;0,656357100644121;0,781674162383155;-0,296468713980032;34;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"222";223;"SF12";"2022-07-03";79;0,775076045979492;1;-1,12649116454876;0,656357100644121;0,781674162383155;-0,296468713980032;26;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"223";224;"SF12";"2022-07-08";79;0,775076045979492;6;-1,29926588303783;0,656357100644121;0,781674162383155;-0,296468713980032;78;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"224";225;"SF12";"2022-07-11";79;0,775076045979492;8;-1,4720406015269;0,656357100644121;0,781674162383155;-0,296468713980032;58;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"225";226;"SF12";"2022-07-17";79;0,775076045979492;1;-1,12649116454876;0,656357100644121;0,781674162383155;-0,296468713980032;56;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"226";227;"SF12";"2023-01-10";85;0,986530324396516;0;-0,608167009081537;0,791157849469464;1,02415510479864;-0,296468713980032;1;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"227";228;"SF12";"2023-01-19";85;0,986530324396516;2;-0,78094172757061;0,791157849469464;1,02415510479864;-0,296468713980032;17;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"228";229;"SF12";"2023-02-12";86;1,02177270413269;9;1,46512961278734;0,791157849469464;1,02415510479864;-0,296468713980032;58;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"229";230;"SF12";"2023-03-04";87;1,05701508386886;7;0,0829318648747551;0,791157849469464;1,02415510479864;-0,296468713980032;36;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"230";231;"SF13";"2022-03-21";58;0,0349860715199076;1;0,428481301852901;-0,55684963878396;-1,54614288480551;-0,296468713980032;17;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"231";232;"SF13";"2022-03-27";58;0,0349860715199076;13;0,428481301852901;-0,55684963878396;-1,54614288480551;-0,296468713980032;49;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"232";233;"SF13";"2022-04-06";59;0,0702284512560783;10;1,11958017580919;-0,55684963878396;-0,964188623008347;-0,296468713980032;27;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"233";234;"SF13";"2022-04-10";59;0,0702284512560783;3;0,0829318648747551;-0,55684963878396;-1,54614288480551;-0,296468713980032;24;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"234";235;"SF13";"2022-05-31";60;0,105470830992249;4;0,94680545732012;-0,55684963878396;-1,54614288480551;-0,296468713980032;22;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"235";236;"SF13";"2022-06-07";61;0,14071321072842;9;-0,608167009081537;-0,55684963878396;-1,54614288480551;-0,296468713980032;26;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"236";237;"SF13";"2022-08-20";63;0,211197970200761;2;-0,608167009081537;-0,422048889958618;-1,54614288480551;-0,296468713980032;46;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"237";238;"SF13";"2022-12-29";67;0,352167489145444;0;0,601256020341974;-0,422048889958618;-1,49764669632242;-0,296468713980032;3;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
